,,STRIKE,OPEN RANGE, HIGH, LOW,CLOSING RANGE,SETT.PRICE & PT.CHGE.,DELTA,EXER CISES,RTH VOLUME,GLOBEX VOLUME,OPEN INTEREST,OPEN INTEREST CHANGE, CONTRACT  (HIGH  LOW)
SEP19,EURO DLR CALL,9812,----,----,----,0.007N,.007 UNCH,.028,----,----,----,74431,0,.420B,.020
SEP19,EURO DLR CALL,9825,----,----,----,0.005N,.005 UNCH,.019,----,----,----,22826,0,.340B,.020
SEP19,EURO DLR CALL,9837,----,----,----,0.002N,.005+ 0.2,.018,----,----,----,58193,0,.280B,.010
SEP19,EURO DLR CALL,9850,----,----,----,0.002N,.002 UNCH,.010,----,----,----,63823,0,.220B,.010
SEP19,EURO DLR CALL,9862,----,----,----,----,.002+ 0.2,.006,----,----,----,133825,0,.170B,.010
SEP19,EURO DLR CALL,9875,----,----,----,----,CAB ----,.003,----,----,----,73816,0,.500B,.010
SEP19,EURO DLR CALL,9887,----,----,----,----,CAB ----,.002,----,----,----,12848,0,.100B,.000
SEP19,EURO DLR CALL,9900,----,----,----,----,CAB ----,.001,----,----,----,12369,0,.090,.010
SEP19,EURO DLR CALL,9912,----,----,----,----,CAB ----,.000,----,----,----,600,0,.060B,.010
SEP19,EURO DLR CALL,9925,----,----,----,----,CAB ----,.000,----,----,----,1149,0,.040B,.010
SEP19,EURO DLR CALL,9937,----,----,----,----,CAB ----,.000,----,----,----,200,0,.010B,.010
SEP19,EURO DLR CALL,9950,----,----,----,----,CAB ----,.000,----,----,----,10000,0,.240B,.020A
SEP19,EURO DLR CALL,9975,----,----,----,----,CAB ----,.000,----,----,----,251,0,.000,.000
SEP19,EURO DLR CALL,10000,----,----,----,----,CAB ----,.000,----,----,----,1200,0,.130B,.000
DEC19,EURO DLR CALL,9625,----,----,----,0.527N,.530+ 0.2,.845,----,----,----,2200,0,1.070B,.520A
DEC19,EURO DLR CALL,9650,----,----,----,0.345N,.347+ 0.2,.689,----,200,200,11741,-200,1.380B,.330A
DEC19,EURO DLR CALL,9662,----,----,----,0.270N,.275+ 0.5,.595,----,----,----,330,0,.980B,.260A
DEC19,EURO DLR CALL,9675,----,----,----,0.207N,.212+ 0.5,.501,----,2388,388,9127,+1157,.860B,.200A
DEC19,EURO DLR CALL,9687,----,----,----,0.160N,.162+ 0.2,.411,----,----,----,33359,0,.590B,.150A
DEC19,EURO DLR CALL,9700,----,----,----,0.122N,.125+ 0.2,.332,----,1,1,74113,0,.580B,.120A
DEC19,EURO DLR CALL,9712,----,----,----,0.092N,.095+ 0.2,.264,----,750,750,44591,+9,.430B,.090
