,,STRIKE,OPEN RANGE, HIGH, LOW,CLOSING RANGE,SETT.PRICE & PT.CHGE.,DELTA,EXER CISES,RTH VOLUME,GLOBEX VOLUME,OPEN INTEREST,OPEN INTEREST CHANGE, CONTRACT  (HIGH  LOW)
SEP20,EURO DLR CALL,9912,----,----,----,0.012N,.015+ 0.2,.030,----,100,100,102,+100,.030B,.020
SEP20,EURO DLR CALL,9925,----,----,----,0.010N,.012+ 0.2,.025,----,----,----,1,0,.020,.020
SEP20,EURO DLR CALL,9950,----,----,----,0.005N,.007+ 0.2,.016,----,----,----,5001,0,----,.020A
SEP20,EURO DLR CALL,10000,----,----,----,0.002N,.002 UNCH,.004,----,----,----,10032,0,.010B,.010
SEP20,EURO DLR CALL,10050,----,----,----,----,CAB ----,.001,----,----,----,5001,0,----,----
DEC20,EURO DLR CALL,9662,----,----,----,0.405N,.412+ NEW,.533,----,100,100,100,+100,.540B,.400A
DEC20,EURO DLR CALL,9675,----,----,----,0.347N,.355+ 0.7,.480,----,3170,920,19123,-50,.700B,.340
DEC20,EURO DLR CALL,9687,----,----,----,0.297N,.302+ 0.5,.429,----,----,----,14389,0,.620B,.290A
DEC20,EURO DLR CALL,9700,----,----,----,0.252N,.257+ 0.5,.381,----,----,----,23582,0,.570B,.250A
DEC20,EURO DLR CALL,9712,----,----,----,0.215N,.220+ 0.5,.336,----,1000,----,13881,0,.500B,.210A
DEC20,EURO DLR CALL,9725,----,----,----,0.185N,.190+ 0.5,.296,----,----,----,8261,0,.440B,.180A
DEC20,EURO DLR CALL,9737,----,----,----,0.157N,.162+ 0.5,.260,----,----,----,4935,0,.380B,.160A
DEC20,EURO DLR CALL,9750,----,----,----,0.135N,.137+ 0.2,.226,----,2500,2500,19606,+2096,.350,.140A
DEC20,EURO DLR CALL,9762,----,----,----,0.115N,.117+ 0.2,.197,----,----,----,7400,0,.330,.120A
DEC20,EURO DLR CALL,9775,----,----,----,0.097N,.100+ 0.2,.171,----,2500,2500,8750,+2500,.240B,.100A
DEC20,EURO DLR CALL,9787,----,----,----,0.085N,.087+ 0.2,.150,----,----,----,3500,0,.190B,.090A
DEC20,EURO DLR CALL,9800,----,----,----,0.072N,.075+ 0.2,.130,----,----,----,9065,0,.160,.070
DEC20,EURO DLR CALL,9812,----,----,----,0.062N,.065+ 0.2,.114,----,----,----,600,0,.130B,.070A
DEC20,EURO DLR CALL,9825,----,----,----,0.052N,.055+ 0.2,.098,----,----,----,17750,0,.110B,.060A
DEC20,EURO DLR CALL,9837,----,----,----,0.045N,.047+ 0.2,.085,----,----,----,1001,0,.270,.050A
DEC20,EURO DLR CALL,9850,----,----,----,0.037N,.040+ 0.2,.073,----,100,100,11450,+100,.110,.040
DEC20,EURO DLR CALL,9862,----,----,----,0.032N,.032 UNCH,.061,----,----,----,1500,0,.100,.060A
DEC20,EURO DLR CALL,9875,----,----,----,0.027N,.027 UNCH,.052,----,----,----,760,0,.060B,.040
DEC20,EURO DLR CALL,9887,----,----,----,0.022N,.022 UNCH,.043,----,----,----,1,0,.050B,.040
DEC20,EURO DLR CALL,9900,----,----,----,0.020N,.020 UNCH,.038,----,----,----,7398,0,.120,.020
DEC20,EURO DLR CALL,9912,----,----,----,0.017N,.017 UNCH,.034,----,100,100,100,+100,.030B,.020
DEC20,EURO DLR CALL,9925,----,----,----,0.015N,.015 UNCH,.029,----,----,----,5000,0,.030,.020
DEC20,EURO DLR CALL,9950,----,----,----,0.010N,.010 UNCH,.020,----,----,----,1011,0,.020,.020A
DEC20,EURO DLR CALL,9962,----,----,----,0.007N,.007 UNCH,.015,----,----,----,500,0,----,.020A
DEC20,EURO DLR CALL,9975,----,----,----,0.005N,.005 UNCH,.011,----,----,----,1,0,.030,.010
DEC20,EURO DLR CALL,10000,----,----,----,0.002N,.002 UNCH,.006,----,----,----,530,0,.010,.010
MAR21,EURO DLR CALL,9650,----,----,----,0.520N,.525+ 0.5,.585,----,----,----,3527,0,.770B,.500A
MAR21,EURO DLR CALL,9675,----,----,----,0.390N,.397+ 0.7,.490,----,350,250,1099,+200,.610B,.380A
MAR21,EURO DLR CALL,9687,----,----,----,0.337N,.345+ 0.7,.443,----,----,----,11361,0,.540B,.330A
MAR21,EURO DLR CALL,9700,----,----,----,0.292N,.300+ 0.7,.398,----,590,590,13805,+30,.480B,.290A
MAR21,EURO DLR CALL,9712,----,----,----,0.255N,.260+ 0.5,.356,----,----,----,7050,0,.420B,.250A
MAR21,EURO DLR CALL,9725,----,----,----,0.220N,.225+ NEW,.317,----,5500,5000,5500,+5500,.370B,.220A
MAR21,EURO DLR CALL,9737,----,----,----,0.190N,.195+ 0.5,.281,----,----,----,11950,0,.320B,.190A
MAR21,EURO DLR CALL,9750,----,----,----,0.162N,.167+ 0.5,.248,----,590,590,4730,+230,.280B,.170A
MAR21,EURO DLR CALL,9762,----,----,----,0.140N,.145+ 0.5,.219,----,----,----,1900,0,.240B,.140A
MAR21,EURO DLR CALL,9775,----,----,----,0.120N,.125+ 0.5,.193,----,----,----,1400,0,.210B,.130A
MAR21,EURO DLR CALL,9787,----,----,----,0.102N,.107+ 0.5,.169,----,----,----,1550,0,.180B,.110A
MAR21,EURO DLR CALL,9800,----,----,----,0.090N,.095+ 0.5,.150,----,----,----,31264,0,.420,.100A
MAR21,EURO DLR CALL,9850,----,----,----,0.050N,.052+ 0.2,.087,----,----,----,10,0,.330B,.060A
MAR21,EURO DLR CALL,9900,----,----,----,0.027N,.030+ 0.2,.051,----,----,----,800,0,.050B,.050A
MAR21,EURO DLR CALL,9925,----,----,----,0.020N,.020 UNCH,.036,----,----,----,20,0,----,----
MAR21,EURO DLR CALL,9950,----,----,----,0.015N,.015 UNCH,.027,----,----,----,1000,0,----,----
MAR21,EURO DLR CALL,9975,----,----,----,0.010N,.010 UNCH,.019,----,----,----,10,0,----,----
MAR21,EURO DLR CALL,10000,----,----,----,0.007N,.007 UNCH,.014,----,----,----,775,0,.020,.020
JUN21,EURO DLR CALL,9600,----,----,----,0.870N,.880+ 1.0,.744,----,----,----,750,0,----,----
JUN21,EURO DLR CALL,9625,----,----,----,0.700N,.715+ 1.5,.668,----,----,----,500,0,----,----
JUN21,EURO DLR CALL,9637,----,----,----,0.622N,.640+ 1.7,.626,----,----,----,1500,0,----,----
JUN21,EURO DLR CALL,9650,----,----,----,0.552N,.567+ 1.5,.584,----,----,----,11100,0,.800B,.550A
JUN21,EURO DLR CALL,9675,----,----,----,0.427N,.437+ 1.0,.496,----,----,----,5700,0,.640B,.420A
JUN21,EURO DLR CALL,9687,----,----,----,0.375N,.385+ 1.0,.453,----,----,----,10450,0,.570B,.370A
JUN21,EURO DLR CALL,9700,----,----,----,0.330N,.337+ 0.7,.410,----,----,----,63075,0,.510B,.330A
JUN21,EURO DLR CALL,9712,----,----,----,0.290N,.297+ 0.7,.371,----,----,----,800,0,.450B,.290A
JUN21,EURO DLR CALL,9737,----,----,----,0.220N,.230+ 1.0,.301,----,----,----,500,0,.350B,.220A
JUN21,EURO DLR CALL,9750,----,----,----,0.192N,.200+ 0.7,.268,----,----,----,11900,0,.310B,.190A
JUN21,EURO DLR CALL,9762,----,----,----,0.167N,.175+ 0.7,.240,----,----,----,250,0,.270B,.170A
JUN21,EURO DLR CALL,9775,----,----,----,0.145N,.152+ 0.7,.213,----,----,----,1758,0,.240B,.150A
JUN21,EURO DLR CALL,9787,----,----,----,0.125N,.132+ 0.7,.189,----,----,----,2350,0,.210B,.130A
JUN21,EURO DLR CALL,9800,----,----,----,0.110N,.115+ 0.5,.167,----,----,----,45000,0,.190B,.120A
JUN21,EURO DLR CALL,9812,----,----,----,0.095N,.100+ 0.5,.148,----,----,----,3850,0,.160B,.110A
JUN21,EURO DLR CALL,9825,----,----,----,0.082N,.087+ 0.5,.131,----,----,----,180,0,.330,.100
JUN21,EURO DLR CALL,9850,----,----,----,0.062N,.067+ 0.5,.103,----,----,----,7,0,.100B,.070A
JUN21,EURO DLR CALL,10000,----,----,----,0.015N,.015 UNCH,.024,----,----,----,300,0,.020,.020
SEP21,EURO DLR CALL,9675,----,----,----,0.460N,.467+ 0.7,.499,----,825,200,800,+250,----,----
SEP21,EURO DLR CALL,9687,----,----,----,0.407N,.415+ 0.7,.457,----,----,----,1450,0,----,----
SEP21,EURO DLR CALL,9700,----,----,----,0.360N,.367+ 0.7,.418,----,----,----,1150,0,.510,.510
SEP21,EURO DLR CALL,9712,----,----,----,0.317N,.325+ 0.7,.380,----,----,----,25,0,----,----
SEP21,EURO DLR CALL,9762,----,----,----,0.195N,.200+ 0.5,.254,----,----,----,400,0,----,----
SEP21,EURO DLR CALL,9800,----,----,----,0.135N,.140+ 0.5,.185,----,----,----,1000,0,.170B,----
SEP21,EURO DLR CALL,9950,----,----,----,0.027N,.030+ 0.2,.045,----,----,----,5,0,----,----
SEP21,EURO DLR CALL,9975,----,----,----,0.020N,.020 UNCH,.032,----,----,----,5,0,----,----
SEP21,EURO DLR CALL,10000,----,----,----,0.015N,.015 UNCH,.024,----,----,----,125,0,----,----
DEC21,EURO DLR CALL,9700,----,----,----,0.382N,.390+ 0.7,.419,----,----,----,550,0,----,----
DEC21,EURO DLR CALL,9712,----,----,----,0.340N,.347+ 0.7,.383,----,----,----,25,0,----,----
DEC21,EURO DLR CALL,9800,----,----,----,0.155N,.157+ 0.2,.195,----,----,----,200,0,.170B,.160
DEC21,EURO DLR CALL,9900,----,----,----,0.060N,.065+ 0.5,.086,----,----,----,505,0,----,----
DEC21,EURO DLR CALL,9925,----,----,----,0.045N,.047+ 0.2,.066,----,----,----,16,0,----,----
DEC21,EURO DLR CALL,9950,----,----,----,0.035N,.037+ 0.2,.053,----,----,----,5,0,----,----
DEC21,EURO DLR CALL,9975,----,----,----,0.025N,.027+ 0.2,.040,----,----,----,16,0,----,----
DEC21,EURO DLR CALL,10000,----,----,----,0.017N,.020+ 0.2,.030,----,----,----,25,0,----,----
MAR22,EURO DLR CALL,9675,----,----,----,0.512N,.520+ 0.7,.499,----,----,----,250,0,----,----
MAR22,EURO DLR CALL,9687,----,----,----,0.460N,.467+ 0.7,.462,----,----,----,100,0,----,----
MAR22,EURO DLR CALL,9712,----,----,----,0.365N,.372+ 0.7,.391,----,----,----,350,0,----,----
JUN22,EURO DLR CALL,9687,----,----,----,0.475N,.487+ 1.2,.463,----,----,----,10,0,----,----
JUN22,EURO DLR CALL,9850,----,----,----,0.130N,.140+ 1.0,.156,----,----,----,10,0,.180,.160
JUN22,EURO DLR CALL,9900,----,----,----,0.095N,.102+ 0.7,.114,----,----,----,100,0,----,----
JUN22,EURO DLR CALL,10000,----,----,----,0.030N,.032+ 0.2,.043,----,----,----,200,0,----,----
JUN22,EURO DLR CALL,10100,----,----,----,0.005N,.005 UNCH,.008,----,----,----,100,0,----,----
SEP22,EURO DLR CALL,9687,----,----,----,0.500N,.512+ 1.2,.464,----,----,----,10,0,----,----
