,,STRIKE,OPEN RANGE, HIGH,LOW,CLOSING RANGE,SETT.PRICE & PT.CHGE.,DELTA,EXER CISES,RTH VOLUME,GLOBEX VOLUME,OPEN INTEREST,CONTRACT  (HIGH  LOW)
SEP20,EURO DLR CALL,9850,----,----,----,0.035N,.030- 0.5,.062,----,----,----,8000 UNCH,.130B,.050A
SEP20,EURO DLR CALL,9862,----,----,----,0.030N,.025- 0.5,.052,----,----,----,20 UNCH,.100B,.040A
SEP20,EURO DLR CALL,9875,----,----,----,0.025N,.022- 0.2,.046,----,----,----,101 UNCH,.070B,.030
SEP20,EURO DLR CALL,9887,----,----,----,0.020N,.020 UNCH,.041,----,----,----,100 UNCH,.060B,.030
SEP20,EURO DLR CALL,9900,----,----,----,0.017N,.017 UNCH,.036,----,----,----,8518 UNCH,.040B,.020
SEP20,EURO DLR CALL,9912,----,----,----,0.015N,.015 UNCH,.031,----,----,----,2 UNCH,.030B,.020A
SEP20,EURO DLR CALL,9925,----,----,----,0.012N,.012 UNCH,.026,----,----,----,1 UNCH,.020,.020
SEP20,EURO DLR CALL,9950,----,----,----,0.007N,.007 UNCH,.016,----,----,----,5001 UNCH,----,.020A
SEP20,EURO DLR CALL,10000,----,----,----,0.005N,.002- 0.2,.004,----,----,----,10032 UNCH,.010B,.010
SEP20,EURO DLR CALL,10050,----,----,----,----,CAB ----,.001,----,----,----,5001 UNCH,----,----
DEC20,EURO DLR CALL,9675,----,----,----,0.415N,.377- 3.7,.508,----,3302,2502,17355 + 2900,.700B,.370A
DEC20,EURO DLR CALL,9687,----,----,----,0.355N,.322- 3.2,.455,----,25,----,14389 UNCH,.620B,.320A
DEC20,EURO DLR CALL,9700,----,----,----,0.305N,.275- 3.0,.404,----,----,----,24232 UNCH,.570B,.270A
DEC20,EURO DLR CALL,9712,----,----,----,0.262N,.235- 2.7,.357,----,----,----,14931 UNCH,.500B,.230A
DEC20,EURO DLR CALL,9725,----,----,----,0.225N,.200- 2.5,.314,----,----,----,8261 UNCH,.440B,.200A
DEC20,EURO DLR CALL,9737,----,----,----,0.190N,.167- 2.2,.273,----,----,----,4935 UNCH,.380B,.170A
DEC20,EURO DLR CALL,9750,----,----,----,0.162N,.142- 2.0,.238,----,----,----,17510 UNCH,.350,.150A
DEC20,EURO DLR CALL,9762,----,----,----,0.140N,.122- 1.7,.208,----,----,----,7400 UNCH,.330,.130A
DEC20,EURO DLR CALL,9775,----,----,----,0.120N,.105- 1.5,.181,----,----,----,6250 UNCH,.240B,.110A
DEC20,EURO DLR CALL,9787,----,----,----,0.100N,.087- 1.2,.155,----,----,----,3500 UNCH,.190B,.100A
DEC20,EURO DLR CALL,9800,----,----,----,0.085N,.075- 1.0,.134,----,----,----,9015 UNCH,.160,.080A
DEC20,EURO DLR CALL,9812,----,----,----,0.072N,.062- 1.0,.114,----,----,----,600 UNCH,.130B,.070A
DEC20,EURO DLR CALL,9825,----,----,----,0.062N,.055- 0.7,.101,----,----,----,17750 UNCH,.110B,.060A
DEC20,EURO DLR CALL,9837,----,----,----,0.055N,.047- 0.7,.087,----,----,----,1001 UNCH,.270,.050A
DEC20,EURO DLR CALL,9850,----,----,----,0.047N,.040- 0.7,.075,----,----,----,11350 UNCH,.110,.050
DEC20,EURO DLR CALL,9862,----,----,----,0.040N,.035- 0.5,.065,----,----,----,1500 UNCH,.100,.060A
DEC20,EURO DLR CALL,9875,----,----,----,0.035N,.030- 0.5,.056,----,----,----,510 UNCH,.060B,.040
DEC20,EURO DLR CALL,9887,----,----,----,0.030N,.025- 0.5,.048,----,----,----,1 UNCH,.050B,.040
DEC20,EURO DLR CALL,9900,----,----,----,0.025N,.022- 0.2,.043,----,100,100,7297 + 100,.120,.030
DEC20,EURO DLR CALL,9925,----,----,----,0.020N,.017- 0.2,.033,----,----,----,5000 UNCH,.030,.020
DEC20,EURO DLR CALL,9950,----,----,----,0.015N,.012- 0.2,.024,----,----,----,1011 UNCH,.020,.020A
DEC20,EURO DLR CALL,9975,----,----,----,0.010N,.007- 0.2,.015,----,----,----,1 UNCH,.030,.010
DEC20,EURO DLR CALL,10000,----,----,----,0.007N,.005- 0.2,.010,----,----,----,530 UNCH,.010,.010
MAR21,EURO DLR CALL,9650,----,----,----,0.602N,.550- 5.2,.612,----,----,----,27 UNCH,.770B,.550A
MAR21,EURO DLR CALL,9675,----,----,----,0.460N,.417- 4.2,.515,----,----,----,899 UNCH,.610B,.420A
MAR21,EURO DLR CALL,9687,----,----,----,0.400N,.362- 3.7,.466,----,4300,----,11361 + 3225,.540B,.360A
MAR21,EURO DLR CALL,9700,----,----,----,0.350N,.315- 3.5,.419,----,----,----,13775 UNCH,.480B,.310A
MAR21,EURO DLR CALL,9712,----,----,----,0.307N,.272- 3.5,.375,----,----,----,7650 UNCH,.420B,.270A
MAR21,EURO DLR CALL,9737,----,----,----,0.230N,.205- 2.5,.297,----,----,----,8450 UNCH,.320B,.210A
MAR21,EURO DLR CALL,9750,----,----,----,0.200N,.175- 2.5,.261,----,----,----,4500 UNCH,.280B,.180A
MAR21,EURO DLR CALL,9762,----,----,----,0.172N,.152- 2.0,.231,----,----,----,1900 UNCH,.240B,.160A
MAR21,EURO DLR CALL,9775,----,----,----,0.147N,.130- 1.7,.203,----,----,----,1400 UNCH,.210B,.140A
MAR21,EURO DLR CALL,9787,----,----,----,0.127N,.115- 1.2,.180,----,----,----,1550 UNCH,.180B,.120A
MAR21,EURO DLR CALL,9800,----,----,----,0.112N,.100- 1.2,.159,----,----,----,31264 UNCH,.420,.100A
MAR21,EURO DLR CALL,9850,----,----,----,0.060N,.055- 0.5,.092,----,----,----,10 UNCH,.330B,.060A
MAR21,EURO DLR CALL,9900,----,----,----,0.032N,.030- 0.2,.052,----,----,----,800 UNCH,.050B,.050A
MAR21,EURO DLR CALL,9925,----,----,----,0.022N,.020- 0.2,.037,----,----,----,10 UNCH,----,----
MAR21,EURO DLR CALL,9950,----,----,----,0.015N,.015 UNCH,.028,----,----,----,1000 UNCH,----,----
MAR21,EURO DLR CALL,10000,----,----,----,0.007N,.007 UNCH,.014,----,----,----,775 UNCH,.020,.020
JUN21,EURO DLR CALL,9600,----,----,----,0.985N,.915- 7.0,.767,----,----,----,750 UNCH,----,----
JUN21,EURO DLR CALL,9625,----,----,----,0.802N,.742- 6.0,.691,----,----,----,500 UNCH,----,----
JUN21,EURO DLR CALL,9637,----,----,----,0.717N,.662- 5.5,.651,----,----,----,1500 UNCH,----,----
JUN21,EURO DLR CALL,9650,----,----,----,0.640N,.587- 5.2,.608,----,----,----,11100 UNCH,.800B,.590A
JUN21,EURO DLR CALL,9675,----,----,----,0.500N,.452- 4.7,.518,----,----,----,1290 UNCH,.640B,.450A
JUN21,EURO DLR CALL,9687,----,----,----,0.437N,.397- 4.0,.473,----,----,----,10450 UNCH,.570B,.400A
JUN21,EURO DLR CALL,9700,----,----,----,0.385N,.350- 3.5,.429,----,100,100,63075 UNCH,.510B,.350A
JUN21,EURO DLR CALL,9712,----,----,----,0.340N,.307- 3.2,.387,----,----,----,825 UNCH,.450B,.310A
JUN21,EURO DLR CALL,9737,----,----,----,0.262N,.232- 3.0,.311,----,----,----,500 UNCH,.350B,.240A
JUN21,EURO DLR CALL,9750,----,----,----,0.227N,.202- 2.5,.278,----,----,----,9350 UNCH,.310B,.210A
JUN21,EURO DLR CALL,9762,----,----,----,0.197N,.175- 2.2,.247,----,----,----,250 UNCH,.270B,.180A
JUN21,EURO DLR CALL,9775,----,----,----,0.172N,.152- 2.0,.219,----,----,----,1758 UNCH,.240B,.160A
JUN21,EURO DLR CALL,9787,----,----,----,0.152N,.132- 2.0,.194,----,----,----,2350 UNCH,.210B,.140A
JUN21,EURO DLR CALL,9800,----,----,----,0.135N,.115- 2.0,.171,----,----,----,45000 UNCH,.190B,.120A
JUN21,EURO DLR CALL,9812,----,----,----,0.117N,.100- 1.7,.151,----,----,----,3850 UNCH,.160B,.110A
JUN21,EURO DLR CALL,9825,----,----,----,0.100N,.085- 1.5,.132,----,----,----,180 UNCH,.330,.100
JUN21,EURO DLR CALL,10000,----,----,----,0.015N,.015 UNCH,.024,----,----,----,300 UNCH,.020,.020
SEP21,EURO DLR CALL,9675,----,----,----,0.527N,.482- 4.5,.519,----,----,----,225 UNCH,----,----
SEP21,EURO DLR CALL,9687,----,----,----,0.467N,.427- 4.0,.476,----,----,----,1450 UNCH,----,----
SEP21,EURO DLR CALL,9700,----,----,----,0.417N,.380- 3.7,.435,----,----,----,1150 UNCH,.510,.510
SEP21,EURO DLR CALL,9712,----,----,----,0.372N,.337- 3.5,.396,----,----,----,25 UNCH,----,----
SEP21,EURO DLR CALL,9762,----,----,----,0.232N,.207- 2.5,.265,----,----,----,400 UNCH,----,----
SEP21,EURO DLR CALL,9800,----,----,----,0.160N,.140- 2.0,.189,----,----,----,1000 UNCH,.170B,----
SEP21,EURO DLR CALL,9950,----,----,----,0.030N,.027- 0.2,.043,----,----,----,5 UNCH,----,----
SEP21,EURO DLR CALL,9975,----,----,----,0.020N,.020 UNCH,.032,----,----,----,5 UNCH,----,----
SEP21,EURO DLR CALL,10000,----,----,----,0.015N,.015 UNCH,.024,----,----,----,125 UNCH,----,----
DEC21,EURO DLR CALL,9700,----,----,----,0.442N,.407- 3.5,.436,----,----,----,550 UNCH,----,----
DEC21,EURO DLR CALL,9712,----,----,----,0.395N,.365- 3.0,.400,----,----,----,25 UNCH,----,----
DEC21,EURO DLR CALL,9900,----,----,----,0.070N,.062- 0.7,.085,----,----,----,500 UNCH,----,----
DEC21,EURO DLR CALL,9925,----,----,----,0.055N,.047- 0.7,.067,----,----,----,12 UNCH,----,----
DEC21,EURO DLR CALL,9975,----,----,----,0.030N,.025- 0.5,.038,----,----,----,12 UNCH,----,----
DEC21,EURO DLR CALL,10000,----,----,----,0.022N,.017- 0.5,.027,----,----,----,25 UNCH,----,----
MAR22,EURO DLR CALL,9687,----,----,----,0.525N,.490- 3.5,.480,----,----,----,100 UNCH,----,----
MAR22,EURO DLR CALL,9712,----,----,----,0.422N,.395- 2.7,.408,----,----,----,350 UNCH,----,----
JUN22,EURO DLR CALL,9687,----,----,----,0.545N,.510- 3.5,.480,----,----,----,10 UNCH,----,----
JUN22,EURO DLR CALL,9850,----,----,----,0.147N,.142- 0.5,.161,----,----,----,10 UNCH,.180,.160
JUN22,EURO DLR CALL,9900,----,----,----,0.107N,.102- 0.5,.116,----,----,----,100 UNCH,----,----
JUN22,EURO DLR CALL,10000,----,----,----,0.030N,.030 UNCH,.041,----,----,----,200 UNCH,----,----
JUN22,EURO DLR CALL,10100,----,----,----,0.005N,.005 UNCH,.008,----,----,----,100 UNCH,----,----
SEP22,EURO DLR CALL,9687,----,----,----,0.567N,.535- 3.2,.480,----,----,----,10 UNCH,----,----
