,,STRIKE,OPEN RANGE, HIGH,LOW,CLOSING RANGE,SETT.PRICE & PT.CHGE.,DELTA,EXER CISES,RTH VOLUME,GLOBEX VOLUME,OPEN INTEREST,CONTRACT  (HIGH  LOW)
MAR19,EURO DLR CALL,9650,----,----,----,0.660N,.650- 1.0,.992,----,----,----,5560 UNCH,1.770B,.640A
MAR19,EURO DLR CALL,9687,----,----,----,0.290N,.282- 0.7,.901,----,2000,2000,2000 + 1875,1.400B,.270A
MAR19,EURO DLR CALL,9700,----,----,----,0.182N,.175- 0.7,.779,----,400,400,10603 - 1,1.270B,.170A
MAR19,EURO DLR CALL,9712,----,----,----,0.102N,.097- 0.5,.547,----,2000,2000,64750 UNCH,1.160,.090A
MAR19,EURO DLR CALL,9725,----,----,----,0.052N,.050- 0.2,.331,----,9625,5500,212935 + 6115,1.030B,.050A
MAR19,EURO DLR CALL,9737,----,----,----,0.027N,.025- 0.2,.183,----,13250,7750,178874 + 7176,.920B,.030A
MAR19,EURO DLR CALL,9750,----,----,----,0.015N,.012- 0.2,.097,----,2000,2000,128104 + 2000,.800B,.010
MAR19,EURO DLR CALL,9762,----,----,----,0.007N,.007 UNCH,.057,----,2500,2500,85983 + 1500,.800B,.010
MAR19,EURO DLR CALL,9775,----,----,----,0.005N,.005 UNCH,.036,----,----,----,56620 UNCH,.600,.010
MAR19,EURO DLR CALL,9787,----,----,----,0.002N,.002 UNCH,.019,----,----,----,63961 UNCH,1.020,.010
MAR19,EURO DLR CALL,9800,----,----,----,----,.002+ 0.2,.007,----,1500,1500,217510 - 250,1.070,.000
MAR19,EURO DLR CALL,9812,----,----,----,----,CAB ----,.002,----,----,----,42619 UNCH,.400B,.000
MAR19,EURO DLR CALL,9825,----,----,----,----,CAB ----,.000,----,----,----,95382 UNCH,.510B,.000
MAR19,EURO DLR CALL,9837,----,----,----,----,CAB ----,.000,----,----,----,32689 UNCH,.730,.010
MAR19,EURO DLR CALL,9850,----,----,----,----,CAB ----,.000,----,----,----,88914 UNCH,.410B,.000
MAR19,EURO DLR CALL,9862,----,----,----,----,CAB ----,.000,----,----,----,17945 UNCH,.150B,.000
MAR19,EURO DLR CALL,9875,----,----,----,----,CAB ----,----,----,----,----,44267 UNCH,.530B,.020A
MAR19,EURO DLR CALL,9887,----,----,----,----,CAB ----,----,----,----,----,28000 UNCH,.190B,.010A
MAR19,EURO DLR CALL,9900,----,----,----,----,CAB ----,----,----,----,----,75116 UNCH,.070B,.010
MAR19,EURO DLR CALL,9912,----,----,----,----,CAB ----,----,----,----,----,8950 UNCH,.060B,.010
MAR19,EURO DLR CALL,9925,----,----,----,----,CAB ----,----,----,----,----,7000 UNCH,.040B,.020
MAR19,EURO DLR CALL,9937,----,----,----,----,CAB ----,----,----,----,----,450 UNCH,.030B,.020A
MAR19,EURO DLR CALL,9950,----,----,----,----,CAB ----,----,----,----,----,45600 UNCH,.250B,.020
MAR19,EURO DLR CALL,9962,----,----,----,----,CAB ----,----,----,----,----,251 UNCH,.200,.020
MAR19,EURO DLR CALL,9975,----,----,----,----,CAB ----,----,----,----,----,225 UNCH,.020,.020
MAR19,EURO DLR CALL,9987,----,----,----,----,CAB ----,----,----,----,----,383 UNCH,.100,.100
MAR19,EURO DLR CALL,10000,----,----,----,----,CAB ----,----,----,----,----,3569 UNCH,.120B,.010A
JUN19,EURO DLR CALL,9662,----,----,----,0.392N,.365- 2.7,.903,----,----,----,125 UNCH,----,1.080A
JUN19,EURO DLR CALL,9675,----,----,----,0.285N,.260- 2.5,.794,----,----,----,250 UNCH,.530B,.280A
JUN19,EURO DLR CALL,9687,----,----,----,0.195N,.177- 1.7,.637,----,----,----,19954 UNCH,1.370,.170A
JUN19,EURO DLR CALL,9700,----,----,----,0.130N,.117- 1.2,.475,----,1,1,32828 + 1,.440B,.110A
JUN19,EURO DLR CALL,9712,----,----,----,0.085N,.075- 1.0,.334,----,500,----,38721 + 500,.450B,.080A
JUN19,EURO DLR CALL,9725,----,----,----,0.052N,.047- 0.5,.227,----,----,----,48003 UNCH,.930B,.050A
JUN19,EURO DLR CALL,9737,----,----,----,0.035N,.030- 0.5,.151,----,125,125,132946 UNCH,.280B,.030
JUN19,EURO DLR CALL,9750,----,----,----,0.022N,.020- 0.2,.102,----,----,----,52701 UNCH,.640,.020A
JUN19,EURO DLR CALL,9762,----,----,----,0.015N,.012- 0.2,.066,----,----,----,54992 UNCH,.580B,.020
JUN19,EURO DLR CALL,9775,----,----,----,0.010N,.010 UNCH,.050,----,3345,3345,88784 + 3000,1.120,.010
JUN19,EURO DLR CALL,9787,----,----,----,0.007N,.007 UNCH,.037,----,----,----,95571 UNCH,.590B,.010
JUN19,EURO DLR CALL,9800,----,----,----,0.005N,.005 UNCH,.025,----,----,----,53437 UNCH,.500B,.010
JUN19,EURO DLR CALL,9812,----,----,----,0.002N,.002 UNCH,.013,----,----,----,30661 UNCH,.400B,.010
JUN19,EURO DLR CALL,9825,----,----,----,0.002N,.002 UNCH,.007,----,----,----,68605 UNCH,.320B,.010
JUN19,EURO DLR CALL,9837,----,----,----,----,CAB ----,.003,----,----,----,30552 UNCH,.260B,.010A
JUN19,EURO DLR CALL,9850,----,----,----,----,CAB ----,.001,----,----,----,36132 UNCH,.620,.010
JUN19,EURO DLR CALL,9862,----,----,----,----,CAB ----,.000,----,----,----,37257 UNCH,.160B,.010A
JUN19,EURO DLR CALL,9875,----,----,----,----,CAB ----,.000,----,----,----,18958 UNCH,.490B,.010
JUN19,EURO DLR CALL,9887,----,----,----,----,CAB ----,.000,----,----,----,10000 UNCH,.090B,.000
JUN19,EURO DLR CALL,9900,----,----,----,----,CAB ----,.000,----,----,----,121839 UNCH,.080B,.000
JUN19,EURO DLR CALL,9912,----,----,----,----,CAB ----,.000,----,----,----,18953 UNCH,.050B,.010
JUN19,EURO DLR CALL,9925,----,----,----,----,CAB ----,.000,----,----,----,6373 UNCH,.040B,.000
JUN19,EURO DLR CALL,9950,----,----,----,----,CAB ----,----,----,----,----,14210 UNCH,.240B,.020
JUN19,EURO DLR CALL,9987,----,----,----,----,CAB ----,----,----,----,----,100 UNCH,.110,.110
JUN19,EURO DLR CALL,10000,----,----,----,----,CAB ----,----,----,----,----,2105 UNCH,.120B,.000
SEP19,EURO DLR CALL,9662,----,----,----,0.347N,.315- 3.2,.736,----,----,----,125 UNCH,1.390B,.340A
SEP19,EURO DLR CALL,9675,----,----,----,0.262N,.235- 2.7,.624,----,----,----,16811 UNCH,1.460,.230A
SEP19,EURO DLR CALL,9687,----,----,----,0.192N,.170- 2.2,.505,----,550,550,15281 UNCH,1.150B,.170A
SEP19,EURO DLR CALL,9700,----,----,----,0.140N,.122- 1.7,.393,----,----,----,28563 UNCH,1.030B,.120A
SEP19,EURO DLR CALL,9712,----,----,----,0.100N,.087- 1.2,.298,----,2536,2036,43628 + 441,.910B,.090
SEP19,EURO DLR CALL,9725,0.060,#.060,*.060,0.060,.062- 0.7,.223,----,1200,200,56785 + 1200,.800B,.060A
SEP19,EURO DLR CALL,9737,----,----,----,0.050N,.045- 0.5,.166,----,1271,1271,155845 - 271,.700B,.050A
SEP19,EURO DLR CALL,9750,----,----,----,0.037N,.032- 0.5,.123,----,100,100,35280 UNCH,.830,.040A
SEP19,EURO DLR CALL,9762,----,----,----,0.027N,.022- 0.5,.088,----,125,125,34952 + 125,.460B,.030A
SEP19,EURO DLR CALL,9775,----,----,----,0.020N,.017- 0.2,.068,----,----,----,104701 UNCH,.550B,.030
SEP19,EURO DLR CALL,9787,----,----,----,0.015N,.012- 0.2,.049,----,----,----,71325 UNCH,.590B,.030A
SEP19,EURO DLR CALL,9800,----,----,----,0.010N,.010 UNCH,.039,----,----,----,49410 UNCH,.500B,.020
SEP19,EURO DLR CALL,9812,----,----,----,0.007N,.007 UNCH,.029,----,125,125,74431 UNCH,.420B,.020
SEP19,EURO DLR CALL,9825,----,----,----,0.005N,.005 UNCH,.020,----,----,----,22826 UNCH,.340B,.020
SEP19,EURO DLR CALL,9837,----,----,----,0.002N,.002 UNCH,.011,----,----,----,58193 UNCH,.280B,.010
SEP19,EURO DLR CALL,9850,----,----,----,0.002N,.002 UNCH,.006,----,----,----,63823 UNCH,.220B,.010
SEP19,EURO DLR CALL,9862,----,----,----,----,CAB ----,.003,----,----,----,133825 UNCH,.170B,.010
SEP19,EURO DLR CALL,9875,----,----,----,----,CAB ----,.002,----,----,----,73816 UNCH,.500B,.010
SEP19,EURO DLR CALL,9887,----,----,----,----,CAB ----,.001,----,----,----,12848 UNCH,.100B,.000
SEP19,EURO DLR CALL,9900,----,----,----,----,CAB ----,.000,----,----,----,12369 UNCH,.090,.010
SEP19,EURO DLR CALL,9912,----,----,----,----,CAB ----,.000,----,----,----,600 UNCH,.060B,.010
SEP19,EURO DLR CALL,9925,----,----,----,----,CAB ----,.000,----,----,----,1149 UNCH,.040B,.010
SEP19,EURO DLR CALL,9937,----,----,----,----,CAB ----,.000,----,----,----,200 UNCH,.010B,.010
SEP19,EURO DLR CALL,9950,----,----,----,----,CAB ----,.000,----,----,----,10000 UNCH,.240B,.020A
SEP19,EURO DLR CALL,9975,----,----,----,----,CAB ----,.000,----,----,----,251 UNCH,.000,.000
SEP19,EURO DLR CALL,10000,----,----,----,----,CAB ----,----,----,----,----,1200 UNCH,.130B,.000
DEC19,EURO DLR CALL,9625,----,----,----,0.635N,.580- 5.5,.876,----,----,----,2200 UNCH,1.070B,.570A
DEC19,EURO DLR CALL,9650,----,----,----,0.432N,.387- 4.5,.732,----,----,----,11841 UNCH,1.380B,.380A
DEC19,EURO DLR CALL,9662,----,----,----,0.345N,.305- 4.0,.642,----,----,----,330 UNCH,.980B,.300A
DEC19,EURO DLR CALL,9675,----,----,----,0.270N,.237- 3.2,.546,----,660,660,4250 - 160,.860B,.230A
